user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method
0.0,0.3333333333333333,0.0,0.6923076923076923,0.3333333333333333,0.4444444444444445,1.0,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0
0.5555,0.3333333333333333,0.0,0.38461538461538464,0.3333333333333333,0.9444444444444444,0.5,1.0,0.5,0.0,0.2,0.0,0.0,0.6666666666666666,0.0
0.6115,0.3333333333333333,0.5,0.46153846153846156,0.16666666666666666,0.9444444444444444,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0
0.667,0.6666666666666666,1.0,0.6153846153846154,0.6666666666666666,0.8333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333
0.7225,0.6666666666666666,0.5,0.6153846153846154,0.6666666666666666,0.27777777777777773,0.0,1.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0
0.778,0.6666666666666666,0.5,0.23076923076923078,0.6666666666666666,0.3888888888888889,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.8335,0.3333333333333333,0.0,0.7692307692307693,0.16666666666666666,0.16666666666666669,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
0.889,0.3333333333333333,0.0,0.3076923076923077,0.3333333333333333,0.7777777777777777,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.9445,0.3333333333333333,0.5,0.9230769230769231,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
1.0,0.6666666666666666,0.0,0.15384615384615385,0.5,0.8888888888888888,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0
0.0555,0.0,0.5,0.15384615384615385,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
